,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,time_preiod,yr_mnth
18,2011-01-01,01_springer,2011,1,18,0,6,0,Light Snow,17.22,21.21,88.0,17.0,9,26,35,04_evening,2011-01
19,2011-01-01,01_springer,2011,1,19,0,6,0,Light Snow,17.22,21.21,88.0,17.0,6,31,37,04_evening,2011-01
20,2011-01-01,01_springer,2011,1,20,0,6,0,Mist,16.4,20.46,87.0,17.0,11,25,36,04_evening,2011-01
21,2011-01-01,01_springer,2011,1,21,0,6,0,Mist,16.4,20.46,87.0,13.0,3,31,34,04_evening,2011-01
22,2011-01-01,01_springer,2011,1,22,0,6,0,Mist,16.4,20.46,94.0,15.0,11,17,28,04_evening,2011-01
23,2011-01-01,01_springer,2011,1,23,0,6,0,Mist,18.86,22.73,88.0,20.0,15,24,39,05_night,2011-01
24,2011-01-02,01_springer,2011,1,0,0,0,0,Mist,18.86,22.73,88.0,20.0,4,13,17,01_early morning,2011-01
25,2011-01-02,01_springer,2011,1,1,0,0,0,Mist,18.04,21.97,94.0,17.0,1,16,17,01_early morning,2011-01
26,2011-01-02,01_springer,2011,1,2,0,0,0,Mist,17.22,21.21,100.0,19.0,1,8,9,01_early morning,2011-01
27,2011-01-02,01_springer,2011,1,3,0,0,0,Mist,18.86,22.73,94.0,13.0,2,4,6,01_early morning,2011-01
28,2011-01-02,01_springer,2011,1,4,0,0,0,Mist,18.86,22.73,94.0,13.0,2,1,3,01_early morning,2011-01
29,2011-01-02,01_springer,2011,1,6,0,0,0,Light Snow,17.22,21.21,77.0,20.0,0,2,2,02_morning,2011-01
30,2011-01-02,01_springer,2011,1,7,0,0,0,Mist,16.4,20.46,76.0,13.0,0,1,1,02_morning,2011-01
31,2011-01-02,01_springer,2011,1,8,0,0,0,Light Snow,16.4,20.46,71.0,15.0,0,8,8,02_morning,2011-01
32,2011-01-02,01_springer,2011,1,9,0,0,0,Mist,15.58,19.7,76.0,15.0,1,19,20,02_morning,2011-01
33,2011-01-02,01_springer,2011,1,10,0,0,0,Mist,14.76,17.42,81.0,15.0,7,46,53,02_morning,2011-01
34,2011-01-02,01_springer,2011,1,11,0,0,0,Mist,14.76,16.66,71.0,17.0,16,54,70,02_morning,2011-01
35,2011-01-02,01_springer,2011,1,12,0,0,0,Mist,14.76,16.66,66.0,20.0,20,73,93,03_afternoon,2011-01
36,2011-01-02,01_springer,2011,1,13,0,0,0,Mist,14.76,17.42,66.0,9.0,11,64,75,03_afternoon,2011-01
37,2011-01-02,01_springer,2011,1,14,0,0,0,Light Snow,14.76,17.42,76.0,13.0,4,55,59,03_afternoon,2011-01
38,2011-01-02,01_springer,2011,1,15,0,0,0,Light Snow,13.94,16.66,81.0,11.0,19,55,74,03_afternoon,2011-01
39,2011-01-02,01_springer,2011,1,16,0,0,0,Light Snow,13.94,16.66,71.0,11.0,9,67,76,04_evening,2011-01
40,2011-01-02,01_springer,2011,1,17,0,0,0,Clear,13.94,16.66,57.0,13.0,7,58,65,04_evening,2011-01
41,2011-01-02,01_springer,2011,1,18,0,0,0,Mist,14.76,16.66,46.0,22.0,10,43,53,04_evening,2011-01
42,2011-01-02,01_springer,2011,1,19,0,0,0,Clear,13.12,14.39,42.0,30.0,1,29,30,04_evening,2011-01
43,2011-01-02,01_springer,2011,1,20,0,0,0,Clear,12.3,13.63,39.0,24.0,5,17,22,04_evening,2011-01
44,2011-01-02,01_springer,2011,1,21,0,0,0,Clear,10.66,11.37,44.0,22.0,11,20,31,04_evening,2011-01
45,2011-01-02,01_springer,2011,1,22,0,0,0,Clear,9.84,10.61,44.0,20.0,0,9,9,04_evening,2011-01
46,2011-01-02,01_springer,2011,1,23,0,0,0,Clear,9.02,11.37,47.0,11.0,0,8,8,05_night,2011-01
47,2011-01-03,01_springer,2011,1,0,0,1,1,Clear,9.02,9.85,44.0,24.0,0,5,5,01_early morning,2011-01
48,2011-01-03,01_springer,2011,1,1,0,1,1,Clear,8.2,8.33,44.0,28.0,0,2,2,01_early morning,2011-01
49,2011-01-03,01_springer,2011,1,4,0,1,1,Clear,6.56,6.82,47.0,26.0,0,1,1,01_early morning,2011-01
50,2011-01-03,01_springer,2011,1,5,0,1,1,Clear,6.56,6.82,47.0,19.0,0,3,3,01_early morning,2011-01
51,2011-01-03,01_springer,2011,1,6,0,1,1,Clear,5.74,5.3,50.0,26.0,0,30,30,02_morning,2011-01
52,2011-01-03,01_springer,2011,1,7,0,1,1,Clear,5.74,6.82,50.0,13.0,1,63,64,02_morning,2011-01
53,2011-01-03,01_springer,2011,1,8,0,1,1,Clear,5.74,6.06,50.0,19.0,1,153,154,02_morning,2011-01
54,2011-01-03,01_springer,2011,1,9,0,1,1,Clear,6.56,6.82,43.0,26.0,7,81,88,02_morning,2011-01
55,2011-01-03,01_springer,2011,1,10,0,1,1,Clear,7.38,8.33,43.0,17.0,11,33,44,02_morning,2011-01
56,2011-01-03,01_springer,2011,1,11,0,1,1,Clear,8.2,9.09,40.0,22.0,10,41,51,02_morning,2011-01
57,2011-01-03,01_springer,2011,1,12,0,1,1,Clear,9.02,10.61,35.0,20.0,13,48,61,03_afternoon,2011-01
58,2011-01-03,01_springer,2011,1,13,0,1,1,Clear,9.84,10.61,35.0,19.0,8,53,61,03_afternoon,2011-01
59,2011-01-03,01_springer,2011,1,14,0,1,1,Clear,10.66,12.12,30.0,19.0,11,66,77,03_afternoon,2011-01
60,2011-01-03,01_springer,2011,1,15,0,1,1,Clear,10.66,12.12,30.0,17.0,14,58,72,03_afternoon,2011-01
61,2011-01-03,01_springer,2011,1,16,0,1,1,Clear,10.66,12.12,30.0,17.0,9,67,76,04_evening,2011-01
62,2011-01-03,01_springer,2011,1,17,0,1,1,Clear,9.84,11.37,30.0,15.0,11,146,157,04_evening,2011-01
63,2011-01-03,01_springer,2011,1,18,0,1,1,Clear,9.84,12.88,32.0,7.0,9,148,157,04_evening,2011-01
64,2011-01-03,01_springer,2011,1,19,0,1,1,Clear,8.2,12.88,47.0,0.0,8,102,110,04_evening,2011-01
65,2011-01-03,01_springer,2011,1,20,0,1,1,Clear,8.2,11.37,47.0,7.0,3,49,52,04_evening,2011-01
66,2011-01-03,01_springer,2011,1,21,0,1,1,Clear,7.38,9.85,64.0,9.0,3,49,52,04_evening,2011-01
67,2011-01-03,01_springer,2011,1,22,0,1,1,Clear,5.74,7.58,69.0,9.0,0,20,20,04_evening,2011-01
68,2011-01-03,01_springer,2011,1,23,0,1,1,Clear,7.38,10.61,55.0,7.0,1,11,12,05_night,2011-01
69,2011-01-04,01_springer,2011,1,0,0,2,1,Clear,6.56,9.09,55.0,7.0,0,5,5,01_early morning,2011-01
70,2011-01-04,01_springer,2011,1,1,0,2,1,Clear,6.56,9.09,59.0,7.0,0,2,2,01_early morning,2011-01
71,2011-01-04,01_springer,2011,1,2,0,2,1,Clear,5.74,7.58,63.0,9.0,0,1,1,01_early morning,2011-01
72,2011-01-04,01_springer,2011,1,4,0,2,1,Clear,5.74,9.09,63.0,6.0,0,2,2,01_early morning,2011-01
73,2011-01-04,01_springer,2011,1,5,0,2,1,Clear,4.92,7.58,68.0,7.0,0,4,4,01_early morning,2011-01
74,2011-01-04,01_springer,2011,1,6,0,2,1,Clear,4.92,7.58,74.0,7.0,0,36,36,02_morning,2011-01
75,2011-01-04,01_springer,2011,1,7,0,2,1,Clear,4.92,7.58,74.0,9.0,2,92,94,02_morning,2011-01
76,2011-01-04,01_springer,2011,1,8,0,2,1,Clear,5.74,7.58,69.0,11.0,2,177,179,02_morning,2011-01
77,2011-01-04,01_springer,2011,1,9,0,2,1,Clear,6.56,7.58,64.0,15.0,2,98,100,02_morning,2011-01
78,2011-01-04,01_springer,2011,1,10,0,2,1,Mist,6.56,6.82,69.0,22.0,5,37,42,02_morning,2011-01
79,2011-01-04,01_springer,2011,1,11,0,2,1,Clear,9.02,10.61,51.0,20.0,7,50,57,02_morning,2011-01
80,2011-01-04,01_springer,2011,1,12,0,2,1,Clear,9.02,11.37,51.0,11.0,12,66,78,03_afternoon,2011-01
81,2011-01-04,01_springer,2011,1,13,0,2,1,Clear,9.84,11.37,56.0,13.0,18,79,97,03_afternoon,2011-01
82,2011-01-04,01_springer,2011,1,14,0,2,1,Clear,10.66,12.88,52.0,15.0,9,54,63,03_afternoon,2011-01
83,2011-01-04,01_springer,2011,1,15,0,2,1,Clear,11.48,13.63,52.0,17.0,17,48,65,03_afternoon,2011-01
84,2011-01-04,01_springer,2011,1,16,0,2,1,Clear,12.3,14.39,49.0,17.0,15,68,83,04_evening,2011-01
85,2011-01-04,01_springer,2011,1,17,0,2,1,Clear,11.48,13.63,48.0,15.0,10,202,212,04_evening,2011-01
86,2011-01-04,01_springer,2011,1,18,0,2,1,Clear,10.66,12.88,48.0,13.0,3,179,182,04_evening,2011-01
87,2011-01-04,01_springer,2011,1,19,0,2,1,Clear,9.84,12.88,48.0,7.0,2,110,112,04_evening,2011-01
88,2011-01-04,01_springer,2011,1,20,0,2,1,Clear,9.84,12.88,48.0,7.0,1,53,54,04_evening,2011-01
89,2011-01-04,01_springer,2011,1,21,0,2,1,Clear,9.02,13.63,64.0,0.0,0,48,48,04_evening,2011-01
90,2011-01-04,01_springer,2011,1,22,0,2,1,Clear,9.02,12.88,64.0,6.0,1,34,35,04_evening,2011-01
91,2011-01-04,01_springer,2011,1,23,0,2,1,Clear,8.2,11.37,69.0,6.0,2,9,11,05_night,2011-01
92,2011-01-05,01_springer,2011,1,0,0,3,1,Clear,8.2,12.88,64.0,0.0,0,6,6,01_early morning,2011-01
93,2011-01-05,01_springer,2011,1,1,0,3,1,Clear,6.56,9.85,74.0,6.0,0,6,6,01_early morning,2011-01
94,2011-01-05,01_springer,2011,1,2,0,3,1,Clear,6.56,9.85,74.0,6.0,0,2,2,01_early morning,2011-01
95,2011-01-05,01_springer,2011,1,4,0,3,1,Clear,9.84,11.37,48.0,15.0,0,2,2,01_early morning,2011-01
96,2011-01-05,01_springer,2011,1,5,0,3,1,Clear,9.02,11.37,47.0,11.0,0,3,3,01_early morning,2011-01
97,2011-01-05,01_springer,2011,1,6,0,3,1,Clear,8.2,9.85,47.0,15.0,0,33,33,02_morning,2011-01
98,2011-01-05,01_springer,2011,1,7,0,3,1,Clear,7.38,9.09,43.0,13.0,1,87,88,02_morning,2011-01
99,2011-01-05,01_springer,2011,1,8,0,3,1,Clear,8.2,9.09,40.0,20.0,3,192,195,02_morning,2011-01
100,2011-01-05,01_springer,2011,1,9,0,3,1,Clear,9.02,9.85,37.0,22.0,6,109,115,02_morning,2011-01
101,2011-01-05,01_springer,2011,1,10,0,3,1,Clear,9.02,9.85,37.0,22.0,4,53,57,02_morning,2011-01
102,2011-01-05,01_springer,2011,1,11,0,3,1,Clear,10.66,11.37,33.0,22.0,12,34,46,02_morning,2011-01
103,2011-01-05,01_springer,2011,1,12,0,3,1,Clear,10.66,11.37,33.0,22.0,5,74,79,03_afternoon,2011-01
104,2011-01-05,01_springer,2011,1,13,0,3,1,Clear,11.48,12.88,30.0,20.0,6,65,71,03_afternoon,2011-01
105,2011-01-05,01_springer,2011,1,14,0,3,1,Clear,12.3,14.39,28.0,13.0,10,52,62,03_afternoon,2011-01
106,2011-01-05,01_springer,2011,1,15,0,3,1,Clear,12.3,14.39,28.0,13.0,7,55,62,03_afternoon,2011-01
107,2011-01-05,01_springer,2011,1,16,0,3,1,Clear,12.3,15.91,28.0,6.0,4,85,89,04_evening,2011-01
108,2011-01-05,01_springer,2011,1,17,0,3,1,Clear,9.84,11.37,38.0,13.0,4,186,190,04_evening,2011-01
109,2011-01-05,01_springer,2011,1,18,0,3,1,Clear,9.84,12.12,38.0,9.0,3,166,169,04_evening,2011-01
110,2011-01-05,01_springer,2011,1,19,0,3,1,Clear,9.84,12.88,38.0,7.0,5,127,132,04_evening,2011-01
111,2011-01-05,01_springer,2011,1,20,0,3,1,Clear,9.02,11.37,47.0,11.0,7,82,89,04_evening,2011-01
112,2011-01-05,01_springer,2011,1,21,0,3,1,Clear,8.2,9.85,51.0,13.0,3,40,43,04_evening,2011-01
113,2011-01-05,01_springer,2011,1,22,0,3,1,Clear,7.38,9.85,55.0,9.0,1,41,42,04_evening,2011-01
114,2011-01-05,01_springer,2011,1,23,0,3,1,Clear,8.2,12.88,47.0,0.0,1,18,19,05_night,2011-01
115,2011-01-06,01_springer,2011,1,0,0,4,1,Clear,7.38,12.12,55.0,0.0,0,11,11,01_early morning,2011-01
116,2011-01-06,01_springer,2011,1,1,0,4,1,Clear,6.56,11.37,64.0,0.0,0,4,4,01_early morning,2011-01
117,2011-01-06,01_springer,2011,1,2,0,4,1,Clear,6.56,11.37,64.0,0.0,0,2,2,01_early morning,2011-01
118,2011-01-06,01_springer,2011,1,4,0,4,1,Mist,6.56,9.85,64.0,6.0,0,1,1,01_early morning,2011-01
119,2011-01-06,01_springer,2011,1,5,0,4,1,Mist,5.74,9.09,69.0,6.0,0,4,4,01_early morning,2011-01
120,2011-01-06,01_springer,2011,1,6,0,4,1,Mist,5.74,8.33,63.0,7.0,0,36,36,02_morning,2011-01
121,2011-01-06,01_springer,2011,1,7,0,4,1,Mist,6.56,11.37,59.0,0.0,0,95,95,02_morning,2011-01
122,2011-01-06,01_springer,2011,1,8,0,4,1,Clear,6.56,11.37,59.0,0.0,3,216,219,02_morning,2011-01
123,2011-01-06,01_springer,2011,1,9,0,4,1,Mist,7.38,12.12,51.0,0.0,6,116,122,02_morning,2011-01
124,2011-01-06,01_springer,2011,1,10,0,4,1,Clear,8.2,12.88,47.0,0.0,3,42,45,02_morning,2011-01
125,2011-01-06,01_springer,2011,1,11,0,4,1,Clear,9.02,12.88,44.0,6.0,2,57,59,02_morning,2011-01
126,2011-01-06,01_springer,2011,1,12,0,4,1,Clear,10.66,14.39,35.0,0.0,6,78,84,03_afternoon,2011-01
127,2011-01-06,01_springer,2011,1,13,0,4,1,Clear,10.66,13.63,35.0,7.0,12,55,67,03_afternoon,2011-01
128,2011-01-06,01_springer,2011,1,14,0,4,1,Clear,11.48,13.63,36.0,11.0,11,59,70,03_afternoon,2011-01
129,2011-01-06,01_springer,2011,1,15,0,4,1,Clear,11.48,13.63,36.0,0.0,8,54,62,03_afternoon,2011-01
130,2011-01-06,01_springer,2011,1,16,0,4,1,Clear,10.66,12.88,38.0,11.0,12,74,86,04_evening,2011-01
131,2011-01-06,01_springer,2011,1,17,0,4,1,Clear,9.02,11.37,51.0,11.0,9,163,172,04_evening,2011-01
132,2011-01-06,01_springer,2011,1,18,0,4,1,Clear,9.02,11.37,51.0,9.0,5,158,163,04_evening,2011-01
133,2011-01-06,01_springer,2011,1,19,0,4,1,Clear,9.02,12.88,55.0,6.0,3,109,112,04_evening,2011-01
134,2011-01-06,01_springer,2011,1,20,0,4,1,Clear,8.2,10.61,51.0,11.0,3,66,69,04_evening,2011-01
135,2011-01-06,01_springer,2011,1,21,0,4,1,Mist,9.02,10.61,55.0,15.0,0,48,48,04_evening,2011-01
136,2011-01-06,01_springer,2011,1,22,0,4,1,Mist,9.02,10.61,51.0,19.0,1,51,52,04_evening,2011-01
137,2011-01-06,01_springer,2011,1,23,0,4,1,Mist,8.2,9.85,59.0,13.0,4,19,23,05_night,2011-01
138,2011-01-07,01_springer,2011,1,0,0,5,1,Mist,8.2,9.85,64.0,13.0,4,13,17,01_early morning,2011-01
139,2011-01-07,01_springer,2011,1,1,0,5,1,Mist,8.2,9.85,69.0,15.0,2,5,7,01_early morning,2011-01
140,2011-01-07,01_springer,2011,1,2,0,5,1,Mist,8.2,9.85,69.0,15.0,0,1,1,01_early morning,2011-01
141,2011-01-07,01_springer,2011,1,4,0,5,1,Mist,8.2,10.61,69.0,9.0,0,1,1,01_early morning,2011-01
142,2011-01-07,01_springer,2011,1,5,0,5,1,Light Snow,9.02,13.63,55.0,0.0,0,5,5,01_early morning,2011-01
143,2011-01-07,01_springer,2011,1,6,0,5,1,Mist,8.2,12.88,69.0,0.0,8,26,34,02_morning,2011-01
144,2011-01-07,01_springer,2011,1,7,0,5,1,Clear,8.2,10.61,69.0,9.0,8,76,84,02_morning,2011-01
145,2011-01-07,01_springer,2011,1,8,0,5,1,Clear,8.2,9.85,51.0,17.0,20,190,210,02_morning,2011-01
146,2011-01-07,01_springer,2011,1,9,0,5,1,Clear,8.2,9.09,47.0,20.0,9,125,134,02_morning,2011-01
147,2011-01-07,01_springer,2011,1,10,0,5,1,Clear,9.02,9.85,37.0,22.0,16,47,63,02_morning,2011-01
148,2011-01-07,01_springer,2011,1,11,0,5,1,Mist,8.2,9.85,40.0,15.0,19,48,67,02_morning,2011-01
149,2011-01-07,01_springer,2011,1,12,0,5,1,Mist,8.2,9.85,37.0,17.0,9,50,59,03_afternoon,2011-01
150,2011-01-07,01_springer,2011,1,13,0,5,1,Mist,8.2,9.09,37.0,19.0,9,64,73,03_afternoon,2011-01
151,2011-01-07,01_springer,2011,1,14,0,5,1,Mist,8.2,9.85,40.0,17.0,7,43,50,03_afternoon,2011-01
152,2011-01-07,01_springer,2011,1,15,0,5,1,Mist,8.2,10.61,37.0,11.0,9,63,72,03_afternoon,2011-01
153,2011-01-07,01_springer,2011,1,16,0,5,1,Mist,8.2,10.61,37.0,11.0,5,82,87,04_evening,2011-01
154,2011-01-07,01_springer,2011,1,17,0,5,1,Mist,8.2,12.88,37.0,0.0,9,178,187,04_evening,2011-01
155,2011-01-07,01_springer,2011,1,18,0,5,1,Clear,8.2,11.37,40.0,6.0,7,116,123,04_evening,2011-01
156,2011-01-07,01_springer,2011,1,19,0,5,1,Clear,6.56,9.85,55.0,6.0,3,92,95,04_evening,2011-01
157,2011-01-07,01_springer,2011,1,20,0,5,1,Clear,7.38,10.61,47.0,7.0,1,50,51,04_evening,2011-01
158,2011-01-07,01_springer,2011,1,21,0,5,1,Clear,7.38,9.85,47.0,9.0,0,39,39,04_evening,2011-01
159,2011-01-07,01_springer,2011,1,22,0,5,1,Mist,7.38,9.85,43.0,11.0,2,34,36,04_evening,2011-01
160,2011-01-07,01_springer,2011,1,23,0,5,1,Mist,7.38,9.85,51.0,11.0,1,14,15,05_night,2011-01
161,2011-01-08,01_springer,2011,1,0,0,6,0,Mist,7.38,9.85,51.0,11.0,1,24,25,01_early morning,2011-01
162,2011-01-08,01_springer,2011,1,1,0,6,0,Mist,7.38,10.61,55.0,6.0,1,15,16,01_early morning,2011-01
163,2011-01-08,01_springer,2011,1,2,0,6,0,Mist,7.38,12.12,55.0,0.0,3,13,16,01_early morning,2011-01
164,2011-01-08,01_springer,2011,1,3,0,6,0,Light Snow,7.38,9.85,55.0,11.0,0,7,7,01_early morning,2011-01
165,2011-01-08,01_springer,2011,1,4,0,6,0,Light Snow,7.38,9.85,55.0,11.0,0,1,1,01_early morning,2011-01
166,2011-01-08,01_springer,2011,1,5,0,6,0,Mist,6.56,8.33,74.0,11.0,0,5,5,01_early morning,2011-01
167,2011-01-08,01_springer,2011,1,6,0,6,0,Mist,6.56,8.33,74.0,11.0,0,2,2,02_morning,2011-01
168,2011-01-08,01_springer,2011,1,7,0,6,0,Mist,6.56,9.09,74.0,7.0,1,8,9,02_morning,2011-01
169,2011-01-08,01_springer,2011,1,8,0,6,0,Light Snow,6.56,9.09,93.0,7.0,0,15,15,02_morning,2011-01
170,2011-01-08,01_springer,2011,1,9,0,6,0,Light Snow,6.56,9.09,93.0,7.0,0,20,20,02_morning,2011-01
171,2011-01-08,01_springer,2011,1,10,0,6,0,Mist,7.38,9.85,80.0,11.0,5,56,61,02_morning,2011-01
172,2011-01-08,01_springer,2011,1,11,0,6,0,Mist,8.2,9.09,69.0,26.0,2,60,62,02_morning,2011-01
173,2011-01-08,01_springer,2011,1,12,0,6,0,Mist,8.2,9.09,59.0,24.0,8,90,98,03_afternoon,2011-01
174,2011-01-08,01_springer,2011,1,13,0,6,0,Clear,8.2,9.09,44.0,22.0,7,95,102,03_afternoon,2011-01
175,2011-01-08,01_springer,2011,1,14,0,6,0,Clear,8.2,8.33,32.0,33.0,12,83,95,03_afternoon,2011-01
176,2011-01-08,01_springer,2011,1,15,0,6,0,Clear,8.2,8.33,32.0,30.0,5,69,74,03_afternoon,2011-01
177,2011-01-08,01_springer,2011,1,16,0,6,0,Clear,7.38,6.82,29.0,30.0,8,68,76,04_evening,2011-01
178,2011-01-08,01_springer,2011,1,17,0,6,0,Clear,6.56,6.06,37.0,37.0,5,64,69,04_evening,2011-01
179,2011-01-08,01_springer,2011,1,18,0,6,0,Clear,5.74,6.06,39.0,20.0,3,52,55,04_evening,2011-01
180,2011-01-08,01_springer,2011,1,19,0,6,0,Clear,5.74,6.06,36.0,17.0,4,26,30,04_evening,2011-01
181,2011-01-08,01_springer,2011,1,20,0,6,0,Clear,4.92,6.06,36.0,17.0,0,28,28,04_evening,2011-01
182,2011-01-08,01_springer,2011,1,21,0,6,0,Clear,4.92,5.3,39.0,24.0,2,35,37,04_evening,2011-01
183,2011-01-08,01_springer,2011,1,22,0,6,0,Clear,4.92,5.3,36.0,26.0,1,33,34,04_evening,2011-01
184,2011-01-08,01_springer,2011,1,23,0,6,0,Clear,4.1,3.03,39.0,30.0,0,22,22,05_night,2011-01
185,2011-01-09,01_springer,2011,1,0,0,0,0,Clear,4.1,3.79,42.0,26.0,1,24,25,01_early morning,2011-01
186,2011-01-09,01_springer,2011,1,1,0,0,0,Clear,4.1,3.03,42.0,31.0,0,12,12,01_early morning,2011-01
187,2011-01-09,01_springer,2011,1,2,0,0,0,Clear,4.1,3.03,46.0,31.0,0,11,11,01_early morning,2011-01
188,2011-01-09,01_springer,2011,1,3,0,0,0,Clear,4.1,3.79,46.0,28.0,0,4,4,01_early morning,2011-01
189,2011-01-09,01_springer,2011,1,4,0,0,0,Clear,3.28,4.54,53.0,13.0,0,1,1,01_early morning,2011-01
190,2011-01-09,01_springer,2011,1,5,0,0,0,Clear,3.28,4.54,53.0,13.0,0,1,1,01_early morning,2011-01
191,2011-01-09,01_springer,2011,1,6,0,0,0,Clear,4.1,4.54,49.0,19.0,0,1,1,02_morning,2011-01
192,2011-01-09,01_springer,2011,1,7,0,0,0,Clear,3.28,4.54,53.0,13.0,1,5,6,02_morning,2011-01
193,2011-01-09,01_springer,2011,1,8,0,0,0,Clear,4.1,4.54,49.0,19.0,0,10,10,02_morning,2011-01
194,2011-01-09,01_springer,2011,1,9,0,0,0,Clear,4.92,3.79,46.0,35.0,0,19,19,02_morning,2011-01
195,2011-01-09,01_springer,2011,1,10,0,0,0,Clear,5.74,5.3,43.0,26.0,0,49,49,02_morning,2011-01
196,2011-01-09,01_springer,2011,1,11,0,0,0,Clear,6.56,6.06,40.0,35.0,2,47,49,02_morning,2011-01
197,2011-01-09,01_springer,2011,1,12,0,0,0,Clear,7.38,6.82,37.0,30.0,4,79,83,03_afternoon,2011-01
198,2011-01-09,01_springer,2011,1,13,0,0,0,Clear,8.2,8.33,34.0,30.0,6,69,75,03_afternoon,2011-01
199,2011-01-09,01_springer,2011,1,14,0,0,0,Clear,9.02,9.09,32.0,31.0,8,64,72,03_afternoon,2011-01
200,2011-01-09,01_springer,2011,1,15,0,0,0,Clear,9.02,9.85,35.0,24.0,5,77,82,03_afternoon,2011-01
201,2011-01-09,01_springer,2011,1,16,0,0,0,Clear,8.2,8.33,34.0,30.0,13,79,92,04_evening,2011-01
202,2011-01-09,01_springer,2011,1,17,0,0,0,Clear,7.38,7.58,37.0,26.0,3,59,62,04_evening,2011-01
203,2011-01-09,01_springer,2011,1,18,0,0,0,Clear,6.56,6.82,40.0,22.0,4,44,48,04_evening,2011-01
204,2011-01-09,01_springer,2011,1,19,0,0,0,Clear,6.56,6.82,43.0,22.0,1,40,41,04_evening,2011-01
205,2011-01-09,01_springer,2011,1,20,0,0,0,Clear,5.74,6.06,46.0,17.0,0,38,38,04_evening,2011-01
206,2011-01-09,01_springer,2011,1,21,0,0,0,Clear,5.74,5.3,46.0,28.0,1,19,20,04_evening,2011-01
207,2011-01-09,01_springer,2011,1,22,0,0,0,Clear,5.74,6.06,46.0,20.0,5,10,15,04_evening,2011-01
208,2011-01-09,01_springer,2011,1,23,0,0,0,Clear,4.92,6.82,50.0,13.0,0,6,6,05_night,2011-01
209,2011-01-10,01_springer,2011,1,0,0,1,1,Clear,4.92,6.06,50.0,19.0,2,3,5,01_early morning,2011-01
210,2011-01-10,01_springer,2011,1,1,0,1,1,Clear,4.92,6.06,50.0,19.0,1,0,1,01_early morning,2011-01
211,2011-01-10,01_springer,2011,1,2,0,1,1,Clear,4.92,6.06,50.0,15.0,0,3,3,01_early morning,2011-01
212,2011-01-10,01_springer,2011,1,3,0,1,1,Clear,4.92,6.06,50.0,15.0,0,1,1,01_early morning,2011-01
213,2011-01-10,01_springer,2011,1,4,0,1,1,Clear,4.1,6.06,54.0,9.0,1,2,3,01_early morning,2011-01
214,2011-01-10,01_springer,2011,1,5,0,1,1,Clear,4.1,5.3,54.0,17.0,0,3,3,01_early morning,2011-01
215,2011-01-10,01_springer,2011,1,6,0,1,1,Clear,4.92,6.06,50.0,19.0,0,31,31,02_morning,2011-01
216,2011-01-10,01_springer,2011,1,7,0,1,1,Clear,4.92,6.06,50.0,15.0,2,75,77,02_morning,2011-01
